Date,TargetCountry,TargetCountryCode,ReceivingCountry,ReceivingCountryCode,Action,NumArticles,AvgTone,AvgGoldsteinScale
20150920,1,2,40,1,120,40,-4.8960958306497835,-4.0
20150921,1,2,9,1,010,6,0.5281690140845,0.0
20150921,1,2,9,1,112,6,-5.32319391634981,-2.0
20150921,1,2,40,1,040,12,0.51965697346132,1.0
20150921,1,2,40,1,043,8,2.64900662251656,2.8
20150921,1,2,41,1,020,20,3.02325581395349,3.0
20150921,1,2,41,1,036,20,3.02325581395349,4.0
20150922,1,2,8,1,0311,4,-0.30581039755351,5.2
20150922,1,2,8,1,111,6,2.91479820627803,-2.0
20150922,1,2,40,1,040,22,-2.24381735947652,1.0
20150922,1,2,40,1,044,6,-2.48756218905472,2.5
20150922,1,2,41,1,012,3,2.09020902090209,-0.4
20150922,1,2,41,1,020,6,1.40515222482436,3.0
20150922,1,2,41,1,040,2,2.09020902090209,1.0
20150923,1,2,11,1,036,10,2.0,4.0
20150923,1,2,20,1,160,2,-3.89294403892944,-4.0
20150923,1,2,40,1,010,6,0.50590219224283,0.0
20150923,1,2,40,1,012,2,1.24740124740124,-0.4
20150923,1,2,40,1,036,14,-0.85438365814527228,4.0
20150923,1,2,40,1,040,91,1.2637921599258943,1.0
20150923,1,2,40,1,042,6,-0.29761904761905,1.9
20150923,1,2,41,1,040,2,1.7293997965412,1.0
20150924,1,2,5,1,071,5,-2.08333333333333,7.4
20150924,1,2,11,1,040,2,4.03225806451613,1.0
20150924,1,2,40,1,036,9,-1.862822964956075,4.0
20150924,1,2,40,1,040,30,0.55129119013132144,1.0
20150924,1,2,40,1,042,6,-3.08724832214765,1.9
20150924,1,2,41,1,012,2,0.24937655860349,-0.4
20150924,1,2,41,1,036,6,3.91120507399577,4.0
20150924,1,2,41,1,040,10,2.32558139534884,1.0
20150924,1,2,41,1,043,10,0.763358778625954,2.8
20150924,1,2,41,1,051,2,0.26007802340702,3.4
20150925,1,2,5,1,071,5,-2.12264150943396,7.4
20150925,1,2,15,1,060,5,2.40963855421687,6.0
20150925,1,2,28,1,010,3,1.97530864197531,0.0
20150925,1,2,40,1,040,10,-5.09626274065686,1.0
20150925,1,2,40,1,042,6,-3.17241379310345,1.9
20150925,1,2,40,1,186,10,-5.09626274065686,-10.0
20150925,1,2,41,1,010,6,1.3888888888888902,0.0
20150925,1,2,41,1,013,10,1.9819169416941702,0.4
20150925,1,2,41,1,036,6,4.0,4.0
20150925,1,2,41,1,040,30,1.9135301968500444,1.0
20150925,1,2,41,1,042,6,2.16346153846154,1.9
20150925,1,2,41,1,043,20,0.75761923893703709,2.8
20150926,1,2,25,1,040,10,0.4424778761062,1.0
20150926,1,2,25,1,043,10,0.4424778761062,2.8
20150926,1,2,30,1,040,10,-0.36764705882353,1.0
20150926,1,2,41,1,010,12,2.25204837454157,0.0
20150926,1,2,41,1,013,4,2.92237442922374,0.4
20150926,1,2,41,1,043,10,2.4024024024024,2.8
20150927,1,2,38,1,042,6,-1.05777054515866,1.9
20150927,1,2,38,1,043,6,-1.05777054515866,2.8
20150927,1,2,40,1,042,6,-1.25984251968504,1.9
20150929,1,2,11,1,070,6,3.4965034965035,7.0
20150929,1,2,14,1,071,5,-0.30549898167006,7.4
20150929,1,2,23,1,051,3,-1.54525386313466,3.4
20150929,1,2,34,1,036,4,5.90339892665475,4.0
20150930,1,2,3,1,030,6,-0.92064883822884,4.0
20150930,1,2,8,1,020,6,1.54798761609907,3.0
20150930,1,2,23,1,020,6,2.68542199488491,3.0
20150930,1,2,23,1,040,6,3.62537764350453,1.0
20150930,1,2,27,1,042,3,1.68855534709193,1.9
20150930,1,2,34,1,036,4,5.98455598455598,4.0
20151001,1,2,9,1,042,3,5.39325842696629,1.9
20151001,1,2,9,1,043,6,5.39325842696629,2.8
